arxiv_id	year	title	domain	user_group	task	explanation_type	interaction_mode	user_study	participants_n	participant_type	study_design	metrics_trust	metrics_reliance	metrics_comprehension	metrics_performance	main_findings	limitations	notes
2402.10086	2024	Explainable AI for Safe and Trustworthy Autonomous Driving: A Systematic Review																
2502.20478	2025	Explainable AI for Clinical Outcome Prediction: A Survey of Clinician Perceptions and Preferences																
2103.10689	2021	Interpretable Deep Learning: Interpretation, Interpretability, Trustworthiness, and Beyond																
2504.02910	2025	Systematic Literature Review: Explainable AI Definitions and Challenges in Education																
1812.08342	2018	A Survey of Safety and Trustworthiness of Deep Neural Networks: Verification, Testing, Adversarial Attack and Defence, and Interpretability																
2311.11055	2023	Designing Interpretable ML System to Enhance Trust in Healthcare: A Systematic Review to Proposed Responsible Clinician-AI-Collaboration Framework																
1804.02969	2018	A review of possible effects of cognitive biases on the interpretation of rule-based machine learning models																
2410.19822	2024	Human-Centric eXplainable AI in Education																
2509.04052	2025	Safeguarding Patient Trust in the Age of AI: Tackling Health Misinformation with Explainable AI																
2510.12201	2025	On the Design and Evaluation of Human-centered Explainable AI Systems: A Systematic Review and Taxonomy																
2509.15084	2025	From Sea to System: Exploring User-Centered Explainable AI for Maritime Decision Support																
2210.11584	2022	Towards Human-centered Explainable AI: A Survey of User Studies for Model Explanations																
1812.08597	2018	Interaction Design for Explainable AI: Workshop Proceedings																
1903.05720	2019	Natural Language Interaction with Explainable AI Models																
2005.13275	2020	Who is this Explanation for? Human Intelligence and Knowledge Graphs for eXplainable AI																
